Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Year
Los Angeles Chargers,803556,262145,541411,25351,69187,68947,25397,25362,67431,84301,Bye,68989,54750,25462,25343,61069,25358,75091,25571,75947,,2018
Los Angeles Rams,1102409,579439,522970,53857,66515,68947,72027,68893,76109,66597,75822,73086,72755,77002,Bye,60974,61695,74210,61759,72161,,2018
Miami Dolphins,1062180,524480,537700,65184,77982,65667,65878,52708,65791,65265,71726,65533,78076,Bye,57069,65155,66087,66841,65798,67420,,2018
Minnesota Vikings,1090834,534491,556343,66673,78461,66800,72027,69696,66801,77982,66801,66825,Bye,61651,66872,65878,69007,66841,61641,66878,,2018
New England Patriots,1068530,527024,541506,65878,68527,61769,65878,65878,65878,62389,70109,65878,69363,Bye,77982,65878,66087,65280,65878,65878,,2018
New Orleans Saints,1147700,584411,563289,73038,73086,74457,78213,73028,Bye,70639,66801,73086,52492,73042,73017,93004,53495,74188,73086,73028,,2018
New York Giants,1183132,615525,567607,77992,90512,71838,78213,74221,77167,72756,77537,Bye,69409,75863,69696,76465,57437,74538,61738,77750,,2018
New York Jets,1130823,623856,506967,61352,77982,67431,65353,77982,77982,77982,61397,65533,77982,Bye,77982,60904,59119,77982,77982,65878,,2018
Oakland Raiders,955258,463353,491905,53857,76696,65667,53387,25362,84922,Bye,54372,69592,54750,62435,70035,54255,53960,44568,53850,77550,,2018
Philadelphia Eagles,1149737,557568,592169,69696,56552,69696,69013,69696,77167,69696,85870,Bye,69696,73042,69696,69696,93127,74210,69696,63188,,2018
Pittsburgh Steelers,1040509,507651,532858,67431,63956,62571,62030,64781,60594,Bye,63780,70997,62881,67683,76536,61069,53960,65280,73086,63874,,2018
San Francisco 49ers,1052454,553190,499264,66673,70164,76023,25397,68337,77642,66597,61923,69592,69409,Bye,50436,69009,69449,68836,70806,72161,,2018
Seattle Seahawks,1114327,552009,562318,76761,57960,69047,61845,68893,84922,Bye,65237,68989,72755,69007,74002,69009,69007,68836,69067,68990,,2018
Tampa Bay Buccaneers,999843,434855,564988,73038,56552,62571,61893,Bye,72665,53682,45134,73513,52667,75863,50436,52568,53495,70031,92851,52884,,2018
Tennessee Titans,1092094,516161,575933,65184,62372,64015,69013,68202,64441,84301,Bye,90466,69363,57401,71826,60904,60344,74538,60746,68978,,2018
Washington Commanders,1043167,488227,554940,61613,57013,59827,Bye,73028,60482,66301,77537,62386,52667,61593,92076,69696,57437,67577,60746,63188,,2018
Arizona Cardinals,1063084,513741,549343,60957,63137,65102,64121,69596,63999,73736,Bye,70133,64639,71680,63891,63986,64153,71026,63850,69078,,2017
Atlanta Falcons,1123058,575681,547377,61857,70826,63240,71273,Bye,70593,65878,77562,74244,73761,69026,71036,71185,72866,62382,73188,74141,,2017
Baltimore Ravens,1088056,564709,523347,55254,70605,84592,71126,54980,70616,66751,70408,67322,Bye,77945,70357,70500,60069,56434,70590,70507,,2017
Buffalo Bills,1040917,534200,506717,68751,74122,68865,71273,52367,Bye,68561,69599,77562,67501,25015,74929,68499,60222,62202,65878,65571,,2017
Carolina Panthers,1133961,588942,545019,70178,74122,73775,65878,64288,74373,61256,58545,74244,72790,Bye,77562,73171,73728,74447,71463,74141,,2017
Chicago Bears,1021219,488137,533082,61857,56640,61172,78362,61834,70616,61256,73192,Bye,61285,60635,69596,61302,52002,65872,58796,66802,,2017
Cincinnati Bengals,978253,425937,552316,55254,52942,78323,67431,52367,Bye,65363,57901,60720,67432,75707,51710,56029,52002,66833,47732,70507,,2017
Cleveland Browns,968007,511060,456947,67431,70605,63351,67431,62032,71815,59061,74237,Bye,64646,57003,51710,25320,67431,56434,58796,50704,,2017
Dallas Cowboys,1309211,741775,567436,93183,76919,65102,91869,93329,Bye,70133,78428,93273,73761,93247,93012,91712,78125,55372,92150,69596,,2017
Denver Broncos,1106590,610846,495744,76324,76919,68865,76909,Bye,76721,25388,76573,69596,76820,75707,53930,65092,75518,63411,72889,75928,,2017
Detroit Lions,1046765,513100,533665,60957,77004,63240,66730,64288,73117,Bye,64983,77575,64646,60635,66613,70500,60372,65872,47732,62501,,2017
Green Bay Packers,1183556,624742,558814,78381,70826,78323,78362,93329,66848,78380,Bye,77575,61285,77945,62147,77684,67431,74447,78092,62501,,2017
Houston Texans,1080447,574197,506250,71710,52942,65878,71804,71835,71815,Bye,69025,71709,60032,71680,70357,62758,71802,64701,71842,60557,,2017
Indianapolis Colts,1022042,507525,514517,60128,63137,63351,68872,65612,63888,63104,57901,71709,66146,Bye,62207,61207,60222,63411,70590,60557,,2017
Jacksonville Jaguars,1049568,514427,535141,71710,61709,84592,77562,66237,56232,63104,Bye,60720,60835,57003,63891,61207,64431,64701,70133,65501,,2017
Kansas City Chiefs,1134166,592851,541315,65878,74971,25386,74587,71835,76994,55090,76573,93273,Bye,76363,74929,77562,74461,75011,65325,75928,,2017
